timestamp;runMode;algorithm;structure;dataType;distribution;structureSize;iterations;pivot;shellParam;time_us
2026-05-06 21:31:27;1;2;0;0;0;25000;50;-1;-1;1481
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1443
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1959
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1707
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1475
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1510
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1409
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1415
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1422
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1438
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1409
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1394
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1551
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1383
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1381
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1502
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1450
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1523
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1512
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1444
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1442
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1514
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1406
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1441
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1449
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1393
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1453
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1464
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1475
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1460
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1467
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1428
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1493
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1499
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1406
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1394
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1425
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1520
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1518
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1424
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1473
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1398
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1430
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1420
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1422
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1405
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1437
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1397
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1456
2026-05-06 21:31:28;1;2;0;0;0;25000;50;-1;-1;1420
2026-05-06 21:31:36;1;2;1;0;0;25000;10;-1;-1;8110815
2026-05-06 21:31:46;1;2;1;0;0;25000;10;-1;-1;9395150
2026-05-06 21:31:55;1;2;1;0;0;25000;10;-1;-1;8711928
2026-05-06 21:32:05;1;2;1;0;0;25000;10;-1;-1;9344212
2026-05-06 21:32:14;1;2;1;0;0;25000;10;-1;-1;8880975
2026-05-06 21:32:23;1;2;1;0;0;25000;10;-1;-1;9411374
2026-05-06 21:32:33;1;2;1;0;0;25000;10;-1;-1;8866819
2026-05-06 21:32:42;1;2;1;0;0;25000;10;-1;-1;9437778
2026-05-06 21:32:51;1;2;1;0;0;25000;10;-1;-1;8843350
2026-05-06 21:33:01;1;2;1;0;0;25000;10;-1;-1;9424209
2026-05-06 21:33:05;1;2;2;0;0;25000;10;-1;-1;3959747
2026-05-06 21:33:09;1;2;2;0;0;25000;10;-1;-1;4387599
2026-05-06 21:33:14;1;2;2;0;0;25000;10;-1;-1;4407717
2026-05-06 21:33:18;1;2;2;0;0;25000;10;-1;-1;4508498
2026-05-06 21:33:23;1;2;2;0;0;25000;10;-1;-1;4417589
2026-05-06 21:33:27;1;2;2;0;0;25000;10;-1;-1;4530313
2026-05-06 21:33:32;1;2;2;0;0;25000;10;-1;-1;4409373
2026-05-06 21:33:36;1;2;2;0;0;25000;10;-1;-1;4523754
2026-05-06 21:33:41;1;2;2;0;0;25000;10;-1;-1;4410271
2026-05-06 21:33:45;1;2;2;0;0;25000;10;-1;-1;4532650
2026-05-06 21:33:53;1;2;4;0;0;25000;10;-1;-1;7575161
2026-05-06 21:34:02;1;2;4;0;0;25000;10;-1;-1;8729565
2026-05-06 21:34:09;1;2;4;0;0;25000;10;-1;-1;7724639
2026-05-06 21:34:17;1;2;4;0;0;25000;10;-1;-1;7586009
2026-05-06 21:34:25;1;2;4;0;0;25000;10;-1;-1;8313879
2026-05-06 21:34:33;1;2;4;0;0;25000;10;-1;-1;7821026
2026-05-06 21:34:42;1;2;4;0;0;25000;10;-1;-1;8591846
2026-05-06 21:34:49;1;2;4;0;0;25000;10;-1;-1;7801404
2026-05-06 21:34:58;1;2;4;0;0;25000;10;-1;-1;8574295
2026-05-06 21:35:06;1;2;4;0;0;25000;10;-1;-1;7838034
2026-05-06 21:35:06;1;4;0;0;0;25000;50;-1;-1;543
2026-05-06 21:35:06;1;4;0;0;0;25000;50;-1;-1;515
2026-05-06 21:35:06;1;4;0;0;0;25000;50;-1;-1;607
2026-05-06 21:35:06;1;4;0;0;0;25000;50;-1;-1;510
